ts,run_id,prompt_id,run_mode,scenario,event,event_group,level,node,span_type,step_id,step_index,tool_name,attempt,status,overall_status,termination_reason,latency_ms,tokens_in,tokens_out,cost_usd,context_hits,tool_results_count,failure_count_run_so_far,error_type,error_message,failure_category,failure_severity,recovered,trace_id,span_id,parent_id,hard_gate_constraint_completeness,hard_gate_no_fabricated_real_time_facts,hard_gate_link_validity_format,hard_gate_calendar_export_correctness,hard_gate_safety_clarity_disclaimer,rubric_relevance,rubric_feasibility,rubric_completeness,rubric_specificity,rubric_coherence,span_module,span_message,span_kind,span_step_title,ts_parsed
2026-02-17T20:43:30.069731+00:00,mix-001,,success,none,mixed_run_start,workflow,INFO,,agent_span,,,,,ok,,,,,,,,,,,,,,,mix-001,mixed_run_start-50eda6cb3687,,,,,,,,,,,,__main__,Mixed run started,normal,,2026-02-17 20:43:30.069731+00:00
2026-02-17T20:43:30.070598+00:00,mix-001,,,,node_enter,workflow,INFO,context_controller,agent_span,,,,,ok,,,,,,,,,,,,,,,mix-001,node_enter-5c6d7b1b43e8,,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node enter,normal,,2026-02-17 20:43:30.070598+00:00
2026-02-17T20:43:30.070674+00:00,mix-001,,,,rag_retrieve_start,rag,INFO,context_controller,reasoning_span,,,,,ok,,,,,,,,,,,,,,,mix-001,rag_retrieve_start-e9b72213940b,,,,,,,,,,,,ai_travel_agent.agents.nodes.context_controller,RAG retrieval started,normal,Retrieve memory context,2026-02-17 20:43:30.070674+00:00
2026-02-17T20:43:30.070815+00:00,mix-001,,,,rag_retrieve,rag,INFO,context_controller,reasoning_span,,,,,ok,,,,,,,0.0,,,,,,,,mix-001,rag_retrieve-201cb4fc1d58,,,,,,,,,,,,ai_travel_agent.agents.nodes.context_controller,RAG retrieval completed,normal,Retrieve memory context,2026-02-17 20:43:30.070815+00:00
2026-02-17T20:43:30.070893+00:00,mix-001,,,,rag_context_stored,rag,INFO,context_controller,reasoning_span,,,,,ok,,,,,,,,,,,,,,,mix-001,rag_context_stored-37e3bed2cff7,,,,,,,,,,,,ai_travel_agent.agents.nodes.context_controller,RAG context hits stored,normal,Retrieve memory context,2026-02-17 20:43:30.070893+00:00
2026-02-17T20:43:30.070942+00:00,mix-001,,,,node_exit,workflow,INFO,context_controller,task_span,,,,,ok,,,0.27,,,,,,,,,,,,mix-001,node_exit-638a5a5aac43,,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node exit,normal,Retrieve memory context,2026-02-17 20:43:30.070942+00:00
2026-02-17T20:43:30.071151+00:00,mix-001,,,,node_enter,workflow,INFO,intent_parser,task_span,,,,,ok,,,,,,,,,,,,,,,mix-001,node_enter-74dc753e980e,,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node enter,normal,Retrieve memory context,2026-02-17 20:43:30.071151+00:00
2026-02-17T20:43:30.071839+00:00,mix-001,,,,llm_call,llm,INFO,,llm_span,,,,,ok,,,0.53,,,,,,,,,,,,mix-001,llm_call-420dc2498b65,,,,,,,,,,,,ai_travel_agent.llm,LLM call completed,normal,,2026-02-17 20:43:30.071839+00:00
2026-02-17T20:43:30.072450+00:00,mix-001,,,,node_exit,workflow,INFO,intent_parser,task_span,,,,,ok,,,1.15,,,,,,,,,,,,mix-001,node_exit-1d8bc9eaf0b7,,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node exit,normal,Parse intent and constraints,2026-02-17 20:43:30.072450+00:00
2026-02-17T20:43:30.072799+00:00,mix-001,,,,node_enter,workflow,INFO,validator,task_span,,,,,ok,,,,,,,,,,,,,,,mix-001,node_enter-f423c6e26312,,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node enter,normal,Parse intent and constraints,2026-02-17 20:43:30.072799+00:00
