ts,run_id,prompt_id,run_mode,scenario,event,event_group,level,node,span_type,step_id,step_index,tool_name,attempt,status,overall_status,termination_reason,latency_ms,tokens_in,tokens_out,cost_usd,context_hits,tool_results_count,failure_count_run_so_far,error_type,error_message,failure_category,failure_severity,recovered,trace_id,span_id,parent_id,hard_gate_constraint_completeness,hard_gate_no_fabricated_real_time_facts,hard_gate_link_validity_format,hard_gate_calendar_export_correctness,hard_gate_safety_clarity_disclaimer,rubric_relevance,rubric_feasibility,rubric_completeness,rubric_specificity,rubric_coherence,span_module,span_message,span_kind,span_step_title,ts_parsed
2026-02-18T02:59:53.560276+00:00,mix-001,,failure,both_env,mixed_run_start,workflow,INFO,,agent_span,,,,,ok,,,,,,,,,,,,,,,mix-001,mixed_run_start-f58f9dec655d,,,,,,,,,,,,__main__,Mixed run started,normal,,2026-02-18 02:59:53.560276+00:00
2026-02-18T02:59:53.561510+00:00,mix-001,,,,node_enter,workflow,INFO,context_controller,agent_span,,,,,ok,,,,,,,,,,,,,,,mix-001,node_enter-c7ce87946dc7,,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node enter,normal,,2026-02-18 02:59:53.561510+00:00
2026-02-18T02:59:53.561581+00:00,mix-001,,,,rag_retrieve_start,rag,INFO,context_controller,reasoning_span,,,,,ok,,,,,,,,,,,,,,,mix-001,rag_retrieve_start-75bd0ea62a63,,,,,,,,,,,,ai_travel_agent.agents.nodes.context_controller,RAG retrieval started,normal,Retrieve memory context,2026-02-18 02:59:53.561581+00:00
2026-02-18T02:59:53.561705+00:00,mix-001,,,,rag_retrieve,rag,INFO,context_controller,reasoning_span,,,,,ok,,,,,,,0.0,,,,,,,,mix-001,rag_retrieve-36e1ce927626,,,,,,,,,,,,ai_travel_agent.agents.nodes.context_controller,RAG retrieval completed,normal,Retrieve memory context,2026-02-18 02:59:53.561705+00:00
2026-02-18T02:59:53.561764+00:00,mix-001,,,,rag_context_stored,rag,INFO,context_controller,reasoning_span,,,,,ok,,,,,,,,,,,,,,,mix-001,rag_context_stored-823bfe414f63,,,,,,,,,,,,ai_travel_agent.agents.nodes.context_controller,RAG context hits stored,normal,Retrieve memory context,2026-02-18 02:59:53.561764+00:00
2026-02-18T02:59:53.561809+00:00,mix-001,,,,node_exit,workflow,INFO,context_controller,task_span,,,,,ok,,,0.23,,,,,,,,,,,,mix-001,node_exit-cec2c0995139,,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node exit,normal,Retrieve memory context,2026-02-18 02:59:53.561809+00:00
2026-02-18T02:59:53.561996+00:00,mix-001,,,,node_enter,workflow,INFO,intent_parser,task_span,,,,,ok,,,,,,,,,,,,,,,mix-001,node_enter-d6db8e75c74d,,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node enter,normal,Retrieve memory context,2026-02-18 02:59:53.561996+00:00
2026-02-18T02:59:53.562582+00:00,mix-001,,,,llm_call,llm,INFO,,llm_span,,,,,ok,,,0.52,,,,,,,,,,,,mix-001,llm_call-feea6c6a5ecd,,,,,,,,,,,,ai_travel_agent.llm,LLM call completed,normal,,2026-02-18 02:59:53.562582+00:00
2026-02-18T02:59:53.563151+00:00,mix-001,,,,node_exit,workflow,INFO,intent_parser,task_span,,,,,ok,,,1.09,,,,,,,,,,,,mix-001,node_exit-4f6cc3e3616b,,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node exit,normal,Parse intent and constraints,2026-02-18 02:59:53.563151+00:00
2026-02-18T02:59:53.563401+00:00,mix-001,,,,node_enter,workflow,INFO,validator,task_span,,,,,ok,,,,,,,,,,,,,,,mix-001,node_enter-89993eac32d3,,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node enter,normal,Parse intent and constraints,2026-02-18 02:59:53.563401+00:00
2026-02-18T02:59:53.563496+00:00,mix-001,,,,node_exit,workflow,INFO,validator,task_span,,,,,ok,,,0.02,,,,,,,,,,,,mix-001,node_exit-c45abd660426,,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node exit,normal,Validate inputs and resolve conflicts,2026-02-18 02:59:53.563496+00:00
2026-02-18T02:59:53.563715+00:00,mix-001,,,,node_enter,workflow,INFO,brain_planner,task_span,,,,,ok,,,,,,,,,,,,,,,mix-001,node_enter-8a422f4779bc,,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node enter,normal,Validate inputs and resolve conflicts,2026-02-18 02:59:53.563715+00:00
2026-02-18T02:59:53.563829+00:00,mix-001,,,,llm_call,llm,INFO,,llm_span,,,,,ok,,,0.06,,,,,,,,,,,,mix-001,llm_call-6456cdaf5656,,,,,,,,,,,,ai_travel_agent.llm,LLM call completed,normal,,2026-02-18 02:59:53.563829+00:00
2026-02-18T02:59:53.564051+00:00,mix-001,,,,node_exit,workflow,INFO,brain_planner,planning_span,,,,,ok,,,0.29,,,,,,,,,,,,mix-001,node_exit-ee4f3a7f2c87,,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node exit,normal,Brain planner: decompose and select tools,2026-02-18 02:59:53.564051+00:00
